,open,high,low,close,adjclose,volume,ticker
2001-02-24,26.0,26.950000762939453,25.725000381469727,26.274999618530273,13.95885181427002,46815600,KO
2001-03-03,25.649999618530273,25.940000534057617,24.69499969482422,25.75,13.679941177368164,51688000,KO
2001-03-10,25.649999618530273,25.649999618530273,23.100000381469727,24.325000762939453,12.922897338867188,60428600,KO
2001-03-17,24.325000762939453,24.549999237060547,22.0,22.75,12.129744529724121,65065400,KO
2001-03-24,22.75,23.625,21.8799991607666,22.579999923706055,12.039103507995605,64443000,KO
2001-03-31,22.579999923706055,23.459999084472656,21.924999237060547,22.5,11.996444702148438,45718800,KO
2001-04-07,22.5,22.795000076293945,21.184999465942383,22.28499984741211,11.881814002990723,44305600,KO
2001-04-14,22.28499984741211,23.885000228881836,22.075000762939453,23.5,12.529624938964844,51873800,KO
2001-04-21,23.514999389648438,24.225000381469727,23.0,23.5,12.529624938964844,37397800,KO
2001-04-28,23.375,24.100000381469727,22.90999984741211,23.415000915527344,12.48430347442627,41212200,KO
2001-05-05,23.415000915527344,23.450000762939453,22.299999237060547,22.645000457763672,12.073758125305176,40881800,KO
2001-05-12,22.674999237060547,24.350000381469727,22.604999542236328,24.049999237060547,12.822866439819336,42181800,KO
2001-05-19,24.049999237060547,24.674999237060547,23.649999618530273,24.084999084472656,12.841532707214355,33152000,KO
2001-05-26,24.084999084472656,24.395000457763672,23.475000381469727,23.905000686645508,12.74555778503418,23948200,KO
2001-06-02,23.799999237060547,23.834999084472656,22.825000762939453,23.0,12.263033866882324,29632000,KO
2001-06-09,23.0,23.065000534057617,22.05500030517578,22.1299991607666,11.799176216125488,34722600,KO
2001-06-16,22.1299991607666,22.239999771118164,21.295000076293945,21.424999237060547,11.468242645263672,39607200,KO
2001-06-23,21.6299991607666,22.829999923706055,21.514999389648438,22.5,12.043668746948242,76552800,KO
2001-06-30,22.5,23.024999618530273,22.28499984741211,22.299999237060547,11.936614990234375,21746200,KO
2001-07-07,22.299999237060547,23.06999969482422,22.145000457763672,23.0049991607666,12.31397819519043,34649000,KO
2001-07-14,23.024999618530273,23.600000381469727,22.80500030517578,23.05500030517578,12.34074592590332,36247600,KO
2001-07-21,23.024999618530273,23.024999618530273,21.825000762939453,22.395000457763672,11.987465858459473,39295000,KO
2001-07-28,22.270000457763672,22.395000457763672,21.75,22.350000381469727,11.963376998901367,44697400,KO
2001-08-04,22.389999389648438,22.989999771118164,22.149999618530273,22.834999084472656,12.22298526763916,46969800,KO
2001-08-11,22.75,23.94499969482422,22.674999237060547,23.770000457763672,12.723469734191895,43748000,KO
2001-08-18,23.950000762939453,24.924999237060547,23.854999542236328,24.604999542236328,13.170422554016113,41742600,KO
2001-08-25,24.5,24.875,23.655000686645508,24.334999084472656,13.025897979736328,40621800,KO
2001-09-01,24.459999084472656,25.350000381469727,24.229999542236328,24.864999771118164,13.309585571289062,50508000,KO
2001-09-08,24.8700008392334,25.09000015258789,24.75,24.975000381469727,13.368471145629883,13732600,KO
2001-09-15,24.75,25.155000686645508,22.625,23.399999618530273,12.52541446685791,85437400,KO
2001-09-22,23.405000686645508,24.6299991607666,23.25,23.424999237060547,12.584147453308105,65628200,KO
2001-09-29,23.25,23.364999771118164,22.145000457763672,22.75,12.221529960632324,55695600,KO
2001-10-06,22.735000610351562,23.25,22.0049991607666,22.399999618530273,12.033510208129883,47366000,KO
2001-10-13,22.100000381469727,24.440000534057617,22.024999618530273,24.295000076293945,13.051519393920898,68780800,KO
2001-10-20,24.05500030517578,24.7450008392334,23.875,24.56999969482422,13.199251174926758,41701600,KO
2001-10-27,24.5,24.575000762939453,23.68000030517578,24.440000534057617,13.129411697387695,32847000,KO
2001-11-03,24.149999618530273,24.950000762939453,24.149999618530273,24.610000610351562,13.220743179321289,32240000,KO
2001-11-10,24.479999542236328,25.225000381469727,24.364999771118164,24.96500015258789,13.411453247070312,36964000,KO
2001-11-17,25.049999237060547,25.100000381469727,24.2549991607666,24.575000762939453,13.201935768127441,21308600,KO
2001-11-24,24.475000381469727,24.545000076293945,23.229999542236328,23.479999542236328,12.613691329956055,38517200,KO
2001-12-01,23.174999237060547,23.700000762939453,23.049999237060547,23.299999237060547,12.564119338989258,42078800,KO
2001-12-08,23.079999923706055,23.434999465942383,22.725000381469727,23.125,12.469757080078125,40928400,KO
2001-12-15,23.325000762939453,24.389999389648438,22.899999618530273,24.389999389648438,13.15188217163086,60298000,KO
2001-12-22,24.389999389648438,24.399999618530273,23.4950008392334,23.584999084472656,12.71779727935791,26622400,KO
2001-12-29,23.625,23.850000381469727,23.010000228881836,23.21500015258789,12.518282890319824,36717400,KO
2002-01-05,22.950000762939453,23.5,22.235000610351562,22.649999618530273,12.213621139526367,61949600,KO
2002-01-12,22.5,22.725000381469727,21.96500015258789,22.719999313354492,12.251360893249512,58290800,KO
2002-01-19,22.719999313354492,22.969999313354492,21.885000228881836,22.575000762939453,12.173174858093262,44158800,KO
2002-01-26,22.424999237060547,22.625,21.75,22.34000015258789,12.0464506149292,69998600,KO
2002-02-02,22.34000015258789,23.260000228881836,22.18000030517578,22.924999237060547,12.361905097961426,55326400,KO
2002-02-09,22.649999618530273,23.524999618530273,22.649999618530273,23.475000381469727,12.658486366271973,43586600,KO
2002-02-16,23.174999237060547,23.75,22.709999084472656,23.649999618530273,12.752849578857422,36141200,KO
2002-02-23,23.649999618530273,24.225000381469727,23.30500030517578,24.204999923706055,13.052120208740234,42700600,KO
2002-03-02,24.05500030517578,24.200000762939453,23.174999237060547,23.924999237060547,12.901139259338379,45222600,KO
2002-03-09,24.049999237060547,24.524999618530273,23.5049991607666,24.31999969482422,13.114133834838867,42746600,KO
2002-03-16,24.399999618530273,25.739999771118164,24.09000015258789,25.625,13.875545501708984,52334800,KO
2002-03-23,25.725000381469727,26.34000015258789,25.674999237060547,26.1299991607666,14.148985862731934,61195600,KO
2002-03-30,26.0,26.204999923706055,25.75,26.09000015258789,14.127326965332031,40146200,KO
2002-04-06,25.799999237060547,27.225000381469727,25.770000457763672,26.68000030517578,14.446807861328125,43501600,KO
2002-04-13,26.424999237060547,27.489999771118164,25.899999618530273,27.454999923706055,14.866460800170898,46385200,KO
2002-04-20,27.4950008392334,27.924999237060547,27.075000762939453,27.225000381469727,14.741911888122559,43484200,KO
2002-04-27,27.225000381469727,28.954999923706055,27.03499984741211,28.43000030517578,15.39440631866455,59436600,KO
2002-05-04,28.399999618530273,28.549999237060547,27.920000076293945,28.18000030517578,15.259034156799316,39404600,KO
